OBJECTID,EVENT_UNIQUE_ID,PRIMARY_OFFENCE,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DOW,OCC_DAY,OCC_DOY,OCC_HOUR,REPORT_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DOW,REPORT_DAY,REPORT_DOY,REPORT_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,BIKE_MAKE,BIKE_MODEL,BIKE_TYPE,BIKE_SPEED,BIKE_COLOUR,BIKE_COST,STATUS,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
15077,GO-20189016976,THEFT UNDER,5/31/2018 5:00:00 AM,2018,May,Thursday,31,151,10,5/31/2018 5:00:00 AM,2018,May,Thursday,31,151,19,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,CA,QUICK 3,OT,18,,999.989990234375,STOLEN,084,Little Portugal (84),084,Little Portugal (84),-79.427105224297,43.642516787878,-8841784.90871943,5410286.47089473
15078,GO-20189016913,THEFT UNDER - BICYCLE,5/29/2018 5:00:00 AM,2018,May,Tuesday,29,149,20,5/31/2018 5:00:00 AM,2018,May,Thursday,31,151,11,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OT,,OT,1,OTH,400,STOLEN,084,Little Portugal (84),084,Little Portugal (84),-79.4228296257221,43.6412456850773,-8841308.95132724,5410090.94114787
15079,GO-2018985308,INCIDENT,5/31/2018 5:00:00 AM,2018,May,Thursday,31,151,17,5/31/2018 5:00:00 AM,2018,May,Thursday,31,151,17,D14,"Open Areas (Lakes, Parks, Rivers)",Outside,ROCKY MOUNTAIN,CST PATROL,MT,21,DBLRED,,UNKNOWN,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.398802134099,43.6493475884512,-8838634.22315276,5411337.30207395
15080,GO-20189016966,THEFT UNDER - BICYCLE,5/31/2018 5:00:00 AM,2018,May,Thursday,31,151,15,5/31/2018 5:00:00 AM,2018,May,Thursday,31,151,17,D52,"Apartment (Rooming House, Condo)",Apartment,OT,PANAMAO X6,TO,24,,2000,STOLEN,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),-79.3801034438183,43.6400745786467,-8836552.69450346,5409910.79728408
15081,GO-20189016955,THEFT UNDER - BICYCLE,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,21,5/31/2018 5:00:00 AM,2018,May,Thursday,31,151,16,D51,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,NO,NORCO CITY GLID,RG,3,RED,700,STOLEN,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3795628472736,43.6562871953909,-8836492.5155207,5412404.99420423
15082,GO-20189016962,THEFT UNDER,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,17,5/31/2018 5:00:00 AM,2018,May,Thursday,31,151,17,D55,"Private Property Structure (Pool, Shed, Detached Garage)",Other,DB,MIRAMAR,RG,21,WHI,100,STOLEN,062,East End-Danforth (62),062,East End-Danforth (62),-79.3047417438951,43.6774232243157,-8828163.46843414,5415657.63502129
15083,GO-20189016912,THEFT UNDER,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,19,5/31/2018 5:00:00 AM,2018,May,Thursday,31,151,11,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,RA,X4 STEM(90MM),RC,1,BLK,400,STOLEN,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.3999218360304,43.6579416996671,-8838758.86780924,5412659.56602288
15084,GO-20189016925,THEFT UNDER - BICYCLE,5/18/2018 5:00:00 AM,2018,May,Friday,18,138,12,5/31/2018 5:00:00 AM,2018,May,Thursday,31,151,14,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,KO,DEW DELUXE,RG,9,DBL,750,STOLEN,056,Leaside-Bennington (56),056,Leaside-Bennington (56),-79.3714864946289,43.6998307702234,-8835593.46012858,5419107.20206362
15085,GO-20189017016,THEFT UNDER - BICYCLE,5/18/2018 5:00:00 AM,2018,May,Friday,18,138,18,6/1/2018 5:00:00 AM,2018,June,Friday,1,152,11,D41,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OT,FIRESTONE,TO,3,WHI,300,STOLEN,120,Clairlea-Birchmount (120),120,Clairlea-Birchmount (120),-79.3016171646893,43.7236418574154,-8827815.64189092,5422774.25271748
15086,GO-2018990052,THEFT UNDER,5/29/2018 5:00:00 AM,2018,May,Tuesday,29,149,22,6/1/2018 5:00:00 AM,2018,June,Friday,1,152,11,D52,Universities / Colleges,Educational,EMMO,,OT,0,REDBLK,2000,STOLEN,169,Bay-Cloverhill (169),076,Bay Street Corridor (76),-79.3870670479449,43.6685417079251,-8837327.87935482,5414290.71172785
