OCC_YEAR,OCC_MONTH,OCC_DOW,DIVISION,LOCATION_TYPE,PREMISES_TYPE,BIKE_TYPE,BIKE_COST,STATUS,NEIGHBOURHOOD_158
2014,March,Friday,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,RG,800.0,STOLEN,Downtown Yonge East (168)
2014,March,Saturday,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,EL,800.0,STOLEN,Cabbagetown-South St.James Town (71)
2014,March,Tuesday,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,MT,2000.0,STOLEN,Leaside-Bennington (56)
2014,March,Tuesday,D53,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,EL,1025.0,STOLEN,Rosedale-Moore Park (98)
2014,March,Sunday,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,OT,350.0,STOLEN,Church-Wellesley (167)
2014,March,Sunday,D55,"Single Home, House (Attach Garage, Cottage, Mobile)",House,EL,1050.0,STOLEN,Greenwood-Coxwell (65)
2013,December,Sunday,D32,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,MT,,UNKNOWN,Yonge-Doris (151)
2014,March,Tuesday,D13,"Private Property Structure (Pool, Shed, Detached Garage)",Other,MT,2500.0,STOLEN,Briar Hill-Belgravia (108)
2014,March,Sunday,D54,Bar / Restaurant,Commercial,MT,200.0,STOLEN,Playter Estates-Danforth (67)
2014,March,Monday,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OT,200.0,STOLEN,Palmerston-Little Italy (80)
2013,December,Sunday,D13,"Apartment (Rooming House, Condo)",Apartment,RG,450.0,STOLEN,Wychwood (94)
2014,January,Friday,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,EL,1815.0,STOLEN,Church-Wellesley (167)
2014,April,Tuesday,D55,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,EL,1300.0,STOLEN,Blake-Jones (69)
2014,April,Tuesday,D55,"Private Property Structure (Pool, Shed, Detached Garage)",Other,TA,1400.0,STOLEN,South Riverdale (70)
2014,March,Monday,D22,Ttc Subway Station,Transit,MT,600.0,STOLEN,Etobicoke City Centre (159)
2014,April,Thursday,D11,"Single Home, House (Attach Garage, Cottage, Mobile)",House,MT,1300.0,STOLEN,High Park North (88)
2014,April,Wednesday,D54,"Apartment (Rooming House, Condo)",Apartment,SC,4000.0,RECOVERED,Victoria Village (43)
2014,April,Thursday,D55,Schools During Supervised Activity,Educational,EL,1300.0,STOLEN,Blake-Jones (69)
2014,April,Thursday,D55,"Single Home, House (Attach Garage, Cottage, Mobile)",House,EL,650.0,STOLEN,Greenwood-Coxwell (65)
